"ROI_A","ROI_B","a","b","k","w_k","w_norm","w_sync","w_frac","w_k_log","w_norm_log","w_sync_log","w_frac_log","xA","yA","zA","xB","yB","zB","lobeA","lobeB"
"FP.L","FP.R",17.2833203148961,67.5733537891543,19.9413295069844,19.9413295069844,0.583516019187785,0.396526463253704,0.31972801214381,3.04172469468691,0.459647703262271,0.333988055921871,0.277425663960568,-25.01,52.77,17.75,26.44,52,18.6,"Frontal","Frontal"
"FP.L","INS.L",73.6254474017516,20.0862218767486,11.8746652483536,11.8746652483536,0.308786478178667,0.221793739265324,0.202189071625117,2.55526144608392,0.269100355348021,0.200320057030946,0.184144121268113,-25.01,52.77,17.75,-36.42,1.01,10.16,"Frontal","Insula"
"FP.L","INS.R",9.19375931861329,0.501871578320157,46.0863435852411,46.0863435852411,21.4550429026186,5.30222428775438,0.904821920290105,3.85198301386851,3.11151521714213,1.84090263263424,0.644388524046447,-25.01,52.77,17.75,37.5,2.65,9.83,"Frontal","Insula"
"FP.L","F1.L",6.53069112142188,12.0978083872197,38.6916512134441,38.6916512134441,4.35295664388924,6.95003220088761,0.805976982692709,3.68114086868708,1.67764905197423,2.07317597908415,0.59110171000367,-25.01,52.77,17.75,-14.56,17.96,66.57,"Frontal","Frontal"
"FP.L","F1.R",11.7005955116888,3.07822821419016,63.0780886713389,63.0780886713389,10.5105183558558,7.31563376730706,0.895137307171198,4.16010247508897,2.44326125698089,2.11813732950063,0.639291293519595,-25.01,52.77,17.75,15.09,17.55,67.52,"Frontal","Frontal"
"FP.L","F2.L",10.1438621372704,22.0137257903446,18.6725429243709,18.6725429243709,1.24955397713018,1.57310495697478,0.537318693219047,2.97922390337256,0.810731964179104,0.94511332414071,0.430039790635497,-25.01,52.77,17.75,-38.15,18.31,52.01,"Frontal","Frontal"
"FP.L","F2.R",29.3629270179196,0.0533890331360529,31.2069253074339,31.2069253074339,24.9244326122791,1.06473613671083,0.679666093190578,3.47218150108521,3.25518586813951,0.725002439416058,0.518595019607736,-25.01,52.77,17.75,39.19,18.3,53.02,"Frontal","Frontal"
"FP.L","F3t.L",4.44116479444222,18.8242197016086,19.6015824459012,19.6015824459012,2.14379966088664,1.3628246022554,0.62756643584596,3.0253678906074,1.14543215144465,0.859857768727614,0.48708591506373,-25.01,52.77,17.75,-49.76,28.6,18.59,"Frontal","Frontal"
"FP.L","F3t.R",31.6126687629943,17.3974756166896,51.5462055070527,51.5462055070527,2.19797628465025,3.62613447108301,0.67778224203533,3.9616928874286,1.16251819870267,1.53172163193043,0.517472827296879,-25.01,52.77,17.75,51.84,27.82,17.72,"Frontal","Frontal"
"FP.L","F3o.L",28.445001777837,22.1322705766464,8.13079873117116,8.13079873117116,0.324053892555445,1.28799994551293,0.243295518115548,2.21165317502692,0.28069816103343,0.82767804970327,0.21776553014081,-25.01,52.77,17.75,-50.69,14.63,25.22,"Frontal","Frontal"
"FP.L","F3o.R",37.3897568694612,32.2914760442187,29.0659641158367,29.0659641158367,0.836497146750472,5.70112934360089,0.454819579695426,3.40339377169188,0.607860032642004,1.90227607093889,0.374881892725465,-25.01,52.77,17.75,52.49,15.48,26.37,"Frontal","Frontal"
"FP.L","PRG.L",0.233752437985802,51.6379798100722,21.2476363150181,21.2476363150181,6.11572470722324,0.413344135062555,0.450319183966183,3.10223576993623,1.96230708260545,0.345958623279491,0.371783659081347,-25.01,52.77,17.75,-34.28,-11.71,59.18,"Frontal","Frontal"
"FP.L","PRG.R",3.66368896994122,47.1172648642925,16.643131044361,16.643131044361,1.26673478991207,0.383009460529001,0.39594819125719,2.8703465316738,0.818340377435301,0.324261893244186,0.333573891371553,-25.01,52.77,17.75,35.08,-10.59,59.79,"Frontal","Frontal"
"FP.L","TP.L",66.4696868828959,3.11950416597559,8.18859744214402,8.18859744214402,0.568662932019078,0.12925925327596,0.190506960441743,2.2179633068905,0.450223620855909,0.121561889697406,0.17437923358182,-25.01,52.77,17.75,-40.44,11.07,-19.78,"Frontal","Temporal"
"FP.L","TP.R",13.1084316188328,44.3589215568047,12.0131831130281,12.0131831130281,0.498186828302712,0.384415820438556,0.294824759533026,2.56596292924162,0.404255595811455,0.325278260363682,0.258375365170894,-25.01,52.77,17.75,40.99,12.93,-19.31,"Frontal","Temporal"
"FP.L","T1a.L",31.235933778756,35.491490265251,13.9691839366545,13.9691839366545,0.419548015732672,3.28257437033476,0.295126331354321,2.7059936836961,0.350338522165552,1.45455431716804,0.25860824356286,-25.01,52.77,17.75,-56,-3.79,1.86,"Frontal","Temporal"
"FP.L","T1a.R",1.84773537190003,8.03333028811296,53.7951872792118,53.7951872792118,13.9629031540968,8.69684796871558,0.915885379104578,4.00360236672523,2.70557401482164,2.27180088102229,0.650179854744889,-25.01,52.77,17.75,57.22,-0.98,-0.41,"Frontal","Temporal"
"FP.L","T1p.L",14.3659864819176,17.1276985312831,20.4568527671063,20.4568527671063,1.30413210847464,7.40730568362495,0.56504875020212,3.06604407067431,0.834704079937515,2.12910105209936,0.447916973795851,-25.01,52.77,17.75,-62.37,-29.14,13.86,"Frontal","Temporal"
"FP.L","T1p.R",3.27914634810509,12.7127500079407,30.7483018606913,30.7483018606913,4.76234641227219,3.25944354988767,0.793622326666973,3.45783923920571,1.75134475499962,1.44913852965737,0.584237221221582,-25.01,52.77,17.75,61.35,-23.87,11.5,"Frontal","Temporal"
"FP.L","T2a.L",51.0475729340069,45.4154350163879,13.408847052642,13.408847052642,0.278485218571479,2.38077349454135,0.21753359332081,2.66784239658435,0.245675954142557,1.21810452785287,0.196827167643901,-25.01,52.77,17.75,-57.8,-4.41,-12.05,"Frontal","Temporal"
"FP.L","T2a.R",10.3189698449796,61.0927542343438,31.8236215188001,31.8236215188001,1.26746675445635,0.626772679538413,0.471255218341033,3.49114842444948,0.818663241138414,0.486598100920739,0.386115926461867,-25.01,52.77,17.75,57.86,-1.74,-14.52,"Frontal","Temporal"
"FP.L","T2p.L",3.38342633011325,7.3015558830286,35.2051967338305,35.2051967338305,7.08305650683488,8.9852025751504,0.868241781686804,3.58920266471169,2.08977008155183,2.30110425460894,0.624997764882045,-25.01,52.77,17.75,-60.95,-27.39,-0.91,"Frontal","Temporal"
"FP.L","T2p.R",52.8122037280874,1e-08,20.3663755304213,20.3663755304213,28025.0633111094,0.385637669155027,0.435435039210779,3.06181844944437,10.240890188741,0.326160444624963,0.361467966479989,-25.01,52.77,17.75,60.97,-22.35,-2.18,"Frontal","Temporal"
"FP.L","TO2.L",1e-08,82.4543557924701,4.77547340508514,4.77547340508514,5259.0782086177,0.0579165685287403,0.103808656011725,1.75362022795462,8.56790117417972,0.0563014726033661,0.0987666140035004,-25.01,52.77,17.75,-57.4,-52.7,10.87,"Frontal","Temporal"
"FP.L","TO2.R",13.2203242678696,19.9215859294189,32.5491878276549,32.5491878276549,2.00565923755046,4.85717236759224,0.662644403875053,3.51301265530515,1.10049692414331,1.76766695600571,0.508409349249523,-25.01,52.77,17.75,58.32,-49.3,11.53,"Frontal","Temporal"
"FP.L","T3a.L",2.95332717209007,48.0587595175104,12.9903909032147,12.9903909032147,1.09038573455951,0.288000578638354,0.337444003762104,2.63837072990352,0.737348610937445,0.253091076935441,0.290760332565514,-25.01,52.77,17.75,-47.97,-5.1,-29.12,"Frontal","Temporal"
